Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Salvador,-12.90,-38.33,-3,13,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,4,20,25.8,24.0,23.0,101.2,0.018124113,86,1.146108203,72.0,5,100,6,0,0,0,0,0
1,4,21,25.6,23.8,22.8,101.2,0.017892148,86,1.147291243,71.2,5,110,3,0,0,0,0,0
1,4,22,25.5,23.9,23.0,101.2,0.018092195,88,1.147316703,71.6,3,90,4,0,0,0,0,0
1,4,23,25.3,23.9,23.0,101.3,0.018157544,89,1.149102704,71.5,4,100,0,0,0,0,0,0
1,4,24,25.2,23.9,23.1,101.3,0.018199759,90,1.149412055,71.5,5,100,0,0,0,0,0,0
1,5,1,25.3,23.5,22.5,101.2,0.01754905,86,1.149060628,70.0,5,90,0,0,0,0,0,0
1,5,2,25.2,23.4,22.4,101.2,0.017435964,86,1.14964906,69.6,7,120,0,0,0,0,0,0
1,5,3,25.0,23.5,22.6,101.2,0.017675494,88,1.149989445,70.0,5,90,5,0,0,0,0,0
1,5,4,24.8,23.3,22.4,101.1,0.017468267,88,1.149996831,69.3,5,90,6,0,0,0,0,0
1,5,5,24.5,23.1,22.2,101.1,0.017287058,89,1.151482224,68.5,5,100,6,0,0,0,0,0
1,5,6,24.1,22.8,22.0,101.2,0.016980995,90,1.154725086,67.3,4,100,6,1,0,0,1,0
1,5,7,23.7,22.8,22.1,101.2,0.017149378,93,1.155976419,67.3,2,100,6,186,107,55,131,52
1,5,8,25.7,23.8,22.8,101.3,0.017831037,86,1.148150305,71.1,3,90,8,507,293,150,273,143
1,5,9,26.8,24.0,22.6,101.3,0.017683241,79,1.144204034,71.9,5,80,8,803,297,35,50,262
1,5,10,29.4,24.5,22.3,101.4,0.017368819,67,1.136049421,73.8,9,100,10,1052,389,46,55,343
